Main Ingredient IDs,Recipe IDs
1240,"[305135, 89662, 13471, 439096, 385728, 358510, 59235, 56255, 348815, 473716, 67851, 374892, 236551, 100845, 139823, 175077, 36463, 56377, 24003, 378144, 106498, 9002, 14887, 221722, 285675, 132412, 346726, 125749, 124387, 21351, 191041, 498103, 124447, 490331, 415873, 99489, 259683, 356816, 8545, 52186, 51040, 84495, 20445, 324169, 249652, 475231, 362745, 86127, 455704, 60528, 95582, 179966, 206808, 9777, 363197, 157477, 160242, 93914, 321330, 117834, 118538, 528081, 155104, 406681, 513925, 63410, 86300, 384304, 413325, 128115, 168758, 120994, 211537, 32251, 448080, 22667, 386521, 387542, 92324, 381903, 215903, 37696, 373186, 462770, 54355, 198417, 34391, 174440, 369273, 153770, 177168, 83561, 125123, 70413, 123277, 258419, 79663, 239410, 125766, 38622, 195246, 502397, 90634, 82888, 134155, 316151, 391135, 332028, 91095, 364111, 20768, 101750, 290114, 352889, 219640, 467012, 240769, 3576, 52086, 412589, 447725, 387294, 352022, 52942, 330329, 105305, 455517, 25174, 366224, 499879, 289067, 369076, 484305, 394717, 177880, 290869, 38583, 503858, 154433, 481571, 120343, 113590, 2872, 402993, 204160, 260882, 402684, 133466, 19047, 322404, 265049, 103888, 243721, 285688, 105979, 150054, 117288, 148106, 463669, 98802, 244226, 38341, 44442, 120674, 276634, 411147, 344507, 413239, 69034, 148566, 234629, 22093, 390826, 120810, 495399, 116562, 491853, 123829, 89171, 15583, 118464, 238513, 35035, 199641, 251042, 271447, 19383, 32071, 457025, 389436, 53956, 413735, 138394, 380710, 32485, 406852, 177572, 122667, 133797, 20099, 421502, 464814, 458901, 138488, 10490, 28775, 329318, 205260, 337264, 52317, 103455, 15351, 112909, 431981, 341375, 411544, 315973, 112201, 215843, 301021, 287442, 109202, 43472, 105325, 29658, 400199, 85578, 111406, 135142, 286094, 457888, 62210, 12548, 378600, 457816, 376895, 425288, 442593, 140846, 456472, 85104, 274867, 69872, 477493, 16537, 264661, 281048, 260296, 255960, 55154, 472979, 12717, 76342, 48163, 216638, 414548, 75428, 138917, 94437, 326988, 168124, 189068, 257664, 24359, 85547, 215549, 170193, 331633, 22912, 186341, 398134, 69171, 17023, 310322, 296716, 446449, 134959, 158471, 421793, 3434, 74346, 259498, 114296, 83485, 295947, 5146, 442585, 129940, 172829, 203129, 243008, 57781, 113531, 40673, 21224, 181995, 52238, 421828, 101164, 271520, 263167, 3668, 455130, 208299, 509358, 462677, 24596, 69442, 95644, 102208, 3610, 428318, 424636, 8544, 253880, 136539, 224705, 495536, 425562, 341923, 141468, 65717, 231014, 79348, 381296, 163811, 109836, 201405, 15036, 24077, 51763, 367347, 26292, 433226, 303377, 352585, 281920, 113089, 97090, 123580, 170705, 31612, 31365, 27836, 48491, 343736, 135664, 428183, 23900, 102678, 3627, 62771, 387180, 10256, 58050, 230622, 428754, 273207, 102997, 471551, 286116, 419328, 144580, 104827, 426029, 67763, 80566, 440223, 67182, 130680, 113223, 212018, 82488, 467285, 430100, 359139, 113107, 428894, 422285, 425545, 410827, 392938, 403133, 357716, 428283, 507013, 287255, 96534, 158046, 169268, 140838, 388954, 390815, 265530, 95003, 506, 160023, 336023, 264918, 111574, 36830, 85563, 19673, 367069, 305069, 372093, 73135, 77606, 249303, 92565, 427666, 49840, 93035, 146177, 119553, 229882, 461900, 98923, 79100, 99117, 399207, 60633, 111353, 285892, 80195, 42040, 110379, 390704, 101351, 471788, 25496, 59511, 422683, 150689, 124476, 291613, 79177, 303067, 324911, 259813, 383746, 49135, 239279, 193127, 211578, 92664, 285552, 35796, 232557, 9040, 127448, 24501, 9395, 38516, 52373, 409724, 26502, 399125, 100916, 38262, 252565, 40746, 105139, 457590, 66320, 24252, 19862, 111056, 312622, 537716, 168474, 119340, 375307, 16531, 42043, 338505, 246229, 76012, 88867, 125980, 98751, 70695, 193684, 256434, 164161, 36524, 80378, 220006, 367536, 382251, 3158, 60320, 17660, 356639, 283440, 97751, 276562, 83381, 116487, 284914, 368033, 60122, 295524, 13159, 38403, 482030, 260852, 17010, 280949, 41751, 351154, 334339, 173935, 275475, 456700, 87382, 330022, 329474, 76031, 48454, 172293, 4523, 13279, 339827, 135372, 501521, 77530, 443101, 362648, 462595, 62941, 462076, 93506, 298576, 355275, 34058, 400890, 469318, 252960, 366057, 119288, 102059, 326661, 453699, 19230, 18726, 421729, 129747, 306832, 51876, 426374, 372655, 222284, 2309, 208787, 86446, 449001, 51888, 473061, 71085, 168786, 297917, 139424, 424033, 35006, 28906, 427669, 253952, 47101, 288721, 373188, 114698, 260691, 297795, 256660, 37762, 388107, 463294, 505282, 397638, 238491, 34781, 356429, 398071, 380318, 314433, 126781, 464290, 24924, 148096, 3020, 24623, 65965, 367701, 260613, 221713, 51046, 264051, 23120, 155269, 373000, 245852, 458721, 113959, 409042, 101206, 19837, 464889, 407304, 457010, 169890, 83541, 88591, 119475, 7849, 315032, 25096, 230577, 118697, 135368, 74037, 7733, 34587, 392203, 475747, 385234, 28885, 62205, 356699, 45363, 139452, 20752, 295749, 280175, 86939, 403290, 59931, 38945, 70836, 201342, 413936, 109633, 7006, 258747, 210145, 31873, 361607, 330172, 73902, 360053, 136826, 8352, 92975, 283384, 232172, 66643, 239299, 87211, 59335, 395556, 142582, 97995, 158665, 242393, 264156, 51336, 167078, 278221, 37938, 235296, 150879, 452150, 393854, 464380, 153841, 42200, 111729, 17241, 298827, 12269, 395499, 461217, 13662, 388272, 172364, 472182, 68556, 12966, 12679, 243247, 142813, 150261, 430655, 269356, 431016, 108132, 39836, 25735, 38661, 308861, 301532, 241011, 19551, 80735, 164473, 423896, 66335, 482580, 40106, 53708, 431405, 235467, 446892, 132550, 159911, 34445, 543, 505288, 274747, 302189, 88034, 35983, 352317, 75269, 512799, 454664, 448104, 119262, 21965, 13472, 393058, 83938, 27796, 74774, 382616, 425903, 299570, 82284, 247283, 301860, 349166, 51599, 39652, 111624, 153953, 288288, 259246, 71120, 40096, 483281, 13150, 449887, 58361, 149377, 14205, 294717, 108468, 360370, 113317, 226643, 68544, 119889, 437076, 36846, 16791, 4750, 81802, 300002, 63639, 57567, 119095, 48268, 11945, 326407, 114204, 246563, 8738, 104118, 409588, 18867, 526996, 230628, 133516, 393750, 81953, 98673, 455840, 492652, 108229, 86492, 139447, 49316, 412244, 267096, 362004, 125061, 201702, 281622, 50317, 495366, 9047, 424247, 230803, 22298, 88227, 51112, 128107, 51406, 22806, 337492, 375786, 494562, 39622, 255927, 21679, 8169, 400513, 170063, 15212, 376141, 73647, 429035, 236995, 4686, 35551, 240925, 326636, 253885, 295471, 182457, 478524, 369103, 299001, 62636, 234230, 182299, 288913, 82653, 266584, 373083, 37054, 8583, 151132, 14875, 437225, 495608, 245912, 73000, 174003, 155292, 434196, 181560, 323169, 363198, 316066, 329284, 295305, 392342, 129284, 299424, 425183, 360524, 105004, 4917, 64588, 517429, 88409, 346668, 10957, 32377, 32282, 86222, 51699, 357919, 152830, 205465, 310097, 88761, 326412, 126968, 412229, 151710, 246003, 148283, 23282, 130100, 228265, 14945, 124994, 277387, 126694, 337848, 25458, 3021, 426343, 224938, 278353, 79757, 77441, 148366, 45399, 46562, 130769, 298193, 38579, 21866, 188079, 395087, 310253, 9196, 23596, 325835, 127805, 108406, 88337, 4176, 462881, 154112, 499772, 76255, 487605, 15484, 28852, 157689, 54227, 65168, 384143, 406780, 274918, 308163, 331376, 480214, 285823, 3506, 16647, 254315, 21867, 21123, 336752, 53847, 75430, 446788, 93508, 56587, 30058, 154652, 126971, 46220, 130954, 37695, 64192, 218789, 46159, 239438, 97326, 77536, 255906, 307183, 85016, 33098, 17079, 399884, 53387, 138996, 30433, 425239, 10786, 42203, 373926, 72065, 110229, 113298, 91238, 138982, 57888, 503789, 153454, 12126, 67085, 83668, 455721, 102294, 215415, 117395, 256818, 364769, 20161, 478902, 380753, 481569, 457840, 310731, 113004, 81908, 31632, 50079, 284623, 132957, 493785, 42144, 349306, 379634, 360192, 260830, 110579, 395629, 333475, 146398, 357342, 112893, 10103, 422507, 455072, 10752, 41330, 224787, 279949, 126413, 89266, 230212, 60497, 252341, 513732, 13631, 334523, 295690, 25333, 453148, 170424, 246606, 376278, 260207, 27308, 370861, 25330, 317752, 436248, 447477, 151591, 329296, 409282, 460700, 135276, 419004, 153516, 256501, 101083, 406069, 41880, 373111, 439945, 49035, 363958, 83916, 372550, 171686, 118278, 295975, 152089, 26656, 416545, 428281, 108980, 353727, 85335, 487274, 301933, 8660, 148743, 38612, 139451, 117089, 428856, 315963, 174313, 90571, 119760, 154254, 129026, 498166, 500913, 377494, 26466, 74351, 2694, 535320, 156299, 405100, 475820, 398935, 37139, 438035, 220902, 91324, 39915, 207042, 13168, 315986, 39451, 167915, 92118, 201163, 137346, 73111, 105446, 364369, 19962, 337995, 125661, 356498, 95225, 305625, 76834, 63763, 391870, 69919, 303111, 371142, 39709, 136957, 29013, 249795, 462628, 15619, 17347, 294927, 76654, 310943, 273854, 60509, 346686, 187686, 56640, 12630, 503, 51442, 36289, 83269, 267122, 369711, 26061, 365962, 103209, 49619, 22703, 126225, 406057, 98936, 36720, 360781, 463392, 68091, 59087, 50319, 144972, 74031, 20805, 44980, 17278, 378198, 434980, 27444, 375728, 28607, 239608, 455419, 152660, 75410, 401108, 191643, 83933, 466431, 361281, 54260, 133931, 269215, 360243, 388877, 1528, 40543, 218510, 110267, 53264, 201336, 355690, 124695, 2306, 463033, 305350, 42983, 304581, 68583, 30734, 402694, 44374, 22590, 87557, 398093, 12459, 251823, 160919, 53793, 85099, 146106, 467780, 39114, 484310, 114127, 93337, 77038, 384709, 134419, 4177, 165177, 251050, 333452, 433081, 158895, 37976, 50951, 395881, 410385, 225332, 65266, 268670, 63248, 128587, 6650, 111333, 156599, 111235, 67251, 377405, 454451, 199309, 380695, 355525, 112801, 46472, 99556, 437487, 67055, 359388, 183, 18933, 35298, 223092, 49544, 360397, 58209, 218883, 505412, 24712, 62638, 104015, 429872, 310974, 129434, 176516, 41397, 83301, 40623, 100742, 382451, 314850, 135271, 147343, 15586, 306743, 87669, 205987, 13147, 111070, 234622, 409988, 447640, 479098, 70491, 128483, 207045, 81375, 107674, 121077, 422180, 50888, 455151, 48861, 135728, 159449, 273432, 40278, 88298, 262570, 3099, 227066, 40819, 450174, 21932, 84792, 120342, 369942, 276966, 257315, 90613, 336536, 68466, 280515, 67468, 321114, 294213, 506943, 322341, 433704, 25254, 304837, 369635, 396861, 25006, 62471, 396753, 38665, 136865, 89925, 26095, 41312, 67498, 109981, 59345, 52414, 505665, 65675, 152210, 153060, 62897, 267791, 82415, 144824, 139337, 393984, 124491, 384433, 158701, 161700, 275738, 140937, 351699, 523551, 161911, 169459, 396559, 422170, 401142, 393111, 536643, 125396, 111345, 425683, 298067, 12935, 25828, 376262, 43096, 84360, 479668, 79709, 272838, 279529, 52188, 151130, 184155, 364726, 289667, 118305, 250537, 12787, 100102, 281909, 137889, 423567, 101873, 78536, 282659, 11860, 388351, 22846, 85021, 158211, 382077, 499928, 232346, 21525, 388993, 24626, 41158, 418507, 425972, 459568, 155290, 461106, 52946, 101771, 420763, 310006, 189635, 345670, 391343, 249848, 30013, 359002, 37033, 289842, 416296, 260156, 480847, 161237, 157451, 155376, 399564, 79414, 274796, 486878, 6428, 155692, 13173, 513214, 433349, 392612, 118696, 435719, 29789, 289896, 371210, 284601, 192344, 281147, 182550, 151094, 77409, 425250, 372672, 388554, 172280, 362801, 24629, 311895, 59408, 13882, 11124, 140409, 26900, 420966, 119968, 53976, 57394, 204652, 39930, 428234, 75911, 391850, 425112, 174598, 384558, 426425, 36995, 140398, 52159, 77090, 151935, 369766, 85684, 15817, 12572, 422001, 2254, 353434, 38906, 231748, 96199, 316368, 268939, 282152, 100975, 10911, 87321, 39618, 19687, 101949, 7686, 376682, 378710, 18266, 81703, 308654, 57252, 361239, 54849, 228139, 138273, 32704, 415523, 476046, 10427, 194193, 510535, 464002, 180539, 288236, 140765, 391291, 50408, 279051, 424649, 70260, 13881, 427574, 44565, 261328, 144978, 163420, 272536, 190481, 95559, 90266, 443109, 420810, 87019, 129420, 229342, 22790, 28712, 384216, 420618, 90650, 262874, 105673, 152388, 12628, 109446, 23385, 466410, 90550, 82946, 59183, 15838, 12816, 411250, 155753, 19635, 21673, 462357, 24936, 215612, 72321, 179860, 252650, 466401, 400944, 83538, 226403, 509959, 256122, 46730, 131408, 93951, 231818, 199379, 386142, 147220, 475108, 301025, 470655, 25574, 388808, 27634, 217298, 120542, 387189, 60630, 33081, 102180, 12567, 96732, 384147, 207094, 25222, 31758, 246210, 436412, 328828, 410288, 346712, 212160, 77139, 55997, 428678, 197236, 215989, 457027, 9537, 19457, 84900, 49357, 361683, 192829, 303212, 277689, 456521, 65459, 456533, 363513, 40667, 360683, 475953, 108322, 70425, 23992, 424954, 42201, 10744, 19413, 380239, 139467, 10877, 29617, 371495, 110865, 113046, 15057, 218699, 321865, 424949, 344375, 3701, 62687, 409584, 7718, 64985, 18823, 92782, 73912, 3842, 480583, 224238, 194444, 356957, 412402, 39481, 84048, 126367, 56738, 436638, 392325, 245387, 445728, 5480, 62510, 14936, 280973, 405987, 217700, 26837, 446611, 150194, 85388, 227649, 405075, 24315, 11528, 258194, 310188, 457092, 77748, 31702, 371885, 135600, 63624, 260368, 136872, 446890, 12109, 280013, 120648, 61111, 217845, 170863, 220144, 176160, 388939, 390158, 176866, 117361, 122764, 12875, 80491, 48176, 88174, 118783, 360301, 70469, 139754, 17018, 133221, 138209, 251443, 134214, 71096, 20248, 139277, 54493, 445577, 140830, 8919, 363985, 92256, 5211, 151350, 389893, 312427, 377940, 237703, 69344, 342045, 105219, 35339, 458048, 416435, 127873, 194273, 88085, 499684, 263713, 16221, 114469, 85262, 143559, 137891, 18418, 235196, 52821, 417935, 42508, 67021, 104967, 12576, 174767, 116453, 291931, 116908, 69878, 326255, 69172, 57211, 37443, 78012, 345224, 378185, 431006, 321077, 65185, 301023, 69199, 18645, 304684, 62272, 23602, 27730, 355123, 91815, 392509, 87787, 3828, 81775, 99073, 118743, 428069, 332512, 17350, 137101, 459490, 281284, 425232, 187786, 277795, 481048, 57748, 153479, 21139, 356060, 83000, 180116, 434019, 95409, 156342, 118962, 112, 293684, 459616, 449638, 13542, 300774, 24569, 411722, 79001, 41308, 158253, 453419, 25473, 110305, 452278, 61215, 19708, 236454, 11622, 456733, 144258, 477866, 74311, 229228, 28778, 16573, 373078, 134401, 386225, 389123, 331603, 310364, 25844, 134691, 455197, 127681, 32459, 59168, 81505, 233771, 75988, 443715, 61076, 201645, 82894, 141422, 23688, 513125, 56262, 371424, 384201, 368270, 392347, 99152, 265468, 118881, 430379]"
422,"[132064, 4826, 457003, 283448, 388258, 52751, 130147, 326781, 148529, 7080, 169985, 482483, 402, 118855, 125760, 461279, 175296, 516191, 268894, 368200, 60758, 62808, 257537, 464720, 11684, 379905, 139608, 215746, 532487, 331248, 408432, 186789, 250991, 7878, 8059, 140746, 414292, 221710, 379195, 170021, 522867, 79336, 391488, 257690, 190562, 90447, 14627, 240472, 256422, 417041, 262907, 171226, 277603, 3980, 184457, 197728, 230765, 8049, 302289, 7338, 131027, 184736, 120735, 59632, 320398, 89558, 51692, 79027, 527557, 10392, 8054, 1550, 24375, 80073, 395168, 381117, 166007, 337182, 4755, 360886, 82451, 403162, 362699, 52388, 426493, 370531, 455922, 8051, 413495, 81075, 7138, 29878, 4811, 463105, 318266, 171361, 32224, 266916, 190428, 434714, 424312, 46721, 206057, 8047, 334633, 211583, 424896, 368392, 298433, 121983, 133247, 8461, 22567, 89480, 144974, 142699, 117979, 50662, 336246, 67645, 45987, 136722, 493007, 427329, 463034, 69122, 177954, 346807, 267973, 440860, 240380, 8680, 276415, 257830, 248138, 440990, 224547, 65317, 320938, 294739, 16429, 8057, 160596, 190790, 62598, 473082, 114598, 318297, 8037, 93806, 4482, 444320, 389499, 385234, 140084, 21758, 53592, 7094, 452625, 363930, 180420, 579, 152390, 431493, 2831, 318995, 25889, 291716, 230211, 455571, 65039, 4323, 137548, 397426, 46992, 10869, 154536, 46482, 322373, 90464, 8056, 368444, 425391, 241057, 310432, 69473, 194746, 252079, 7222, 77778, 230198, 22100, 114918, 280965, 36813, 8039, 210982, 90893, 83626, 8038, 407090, 211804, 360855, 408521, 157220, 7378, 38979, 341390, 467750, 257554, 2985, 110835, 8052, 491388, 239420, 217398, 9060, 278662, 98304, 207383, 243833, 188756, 8045, 17155, 435738, 456233, 175622, 151494, 274, 72160, 10171, 194725, 5038, 101552, 268173, 204650, 124895, 7229, 441001, 24064, 295747, 351856, 482581, 147633, 383346, 313399, 188532, 356678, 427198, 225358, 447626, 355006, 200642, 48347, 77102, 317656, 186330, 368386, 22258, 72409, 180882, 210721, 202912, 101779, 503, 3058, 78179, 133986, 32183, 159733, 73586, 225469, 371870, 186638, 212994, 188147, 505524, 2988, 15569, 16545, 2015, 391109, 10907, 234284, 350754, 395601, 394703, 20787, 322245, 14799, 347062, 178104, 517329, 335535, 359801, 370848, 142562, 472531, 481701, 3055, 458385, 156453, 21584, 175548, 155743, 368394, 103485, 298301, 68466, 210348, 227795, 215749, 23906, 121012, 294244, 93263, 484053, 179138, 34787, 405602, 51581, 353951, 97525, 143811, 377459, 28350, 15121, 6697, 482962, 6498, 150210, 47319, 7277, 100662, 9392, 422989, 306496, 12787, 407893, 438654, 503134, 422339, 131287, 398314, 305037, 218058, 28001, 256305, 338621, 62367, 153051, 173596, 50793, 242446, 194147, 92138, 426884, 6500, 111412, 41387, 304846, 224997, 221926, 8254, 31152, 269267, 136911, 328051, 368398, 492555, 433346, 645, 77020, 1356, 144382, 650, 388483, 1075, 17381, 378734, 148251, 389279, 11919, 142163, 352068, 111673, 43201, 276810, 39483, 29375, 8151, 202860, 482409, 427640, 8401, 165561, 47926, 368402, 466005, 355430, 126289, 358222, 7427, 1136, 23285, 103632, 428257, 51076, 428560, 52564, 382042, 206652, 98364, 897, 351, 437374, 3889, 80908, 16595, 119254, 49735, 27184, 29603, 298159, 309911, 286889, 28672, 316193, 8041, 267656, 368390, 241828, 422895, 473372, 265019, 235685, 284928, 363550, 312673, 189766, 167170, 209280, 157999, 341456, 273934, 121691, 33829, 461646, 42868, 467407, 119965, 8040, 85219, 102179, 7616]"
5561,"[470787, 316841, 19232, 291912, 484218, 224173, 9217, 287527, 312867, 455196, 67685, 9222, 311444, 300254, 29182, 48155, 329518, 169600, 392394, 8570, 271134, 457710, 69086, 182348, 388289, 32457, 418254, 265921, 57566, 96641, 295600, 15351, 62316, 230001, 172674, 99043, 14285, 274792, 4164, 16098, 8269, 11956, 136232, 162144, 166268, 174938, 141719, 372839, 53721, 81782, 186496, 316997, 80073, 491095, 410976, 169716, 234169, 222096, 315581, 289563, 387677, 362699, 257798, 7138, 43280, 137872, 328375, 46721, 171171, 334633, 53014, 88686, 44962, 63895, 287341, 66763, 82963, 412459, 281472, 279131, 354251, 369871, 239992, 104051, 253924, 11264, 112173, 368462, 177865, 322678, 122230, 270004, 223887, 68192, 299259, 505282, 168072, 187299, 446478, 61978, 34265, 219233, 453409, 469524, 81645, 385234, 45455, 112534, 12520, 214355, 259888, 330189, 103447, 108992, 108876, 34232, 352594, 333797, 455571, 192332, 204428, 12401, 88105, 111074, 159611, 284510, 53693, 340279, 518914, 45412, 249137, 393045, 455228, 130113, 398278, 456359, 2985, 168166, 59367, 305100, 229422, 208520, 410751, 417036, 155536, 96468, 200295, 97285, 275729, 77183, 468044, 390151, 56508, 441464, 67840, 440740, 192792, 147958, 468837, 342507, 106204, 242936, 95531, 464017, 423996, 44285, 425406, 241494, 353467, 189132, 72494, 369614, 429615, 355006, 87365, 104052, 345736, 8366, 108022, 40168, 426445, 75316, 505513, 13910, 354117, 497049, 151202, 114199, 32254, 83269, 66362, 362380, 4214, 33509, 423499, 81317, 174889, 360614, 6571, 136412, 47898, 77095, 8414, 173158, 448990, 304168, 153691, 368159, 39209, 388526, 70307, 68466, 202930, 98610, 96423, 87717, 51581, 152210, 278905, 199197, 23262, 16055, 18789, 244826, 32386, 438654, 60559, 81667, 44620, 392212, 350282, 272070, 196737, 6568, 281931, 8240, 219179, 96949, 54480, 252781, 160507, 170620, 310179, 431304, 91660, 281298, 153732, 441587, 149761, 650, 343461, 120294, 213117, 238191, 100820, 65105, 95238, 54247, 196194, 173299, 406855, 235832, 67699, 504794, 395504, 246930, 471726, 195433, 345133, 58340, 416846, 78787, 472081, 74909, 252400, 288864, 245387, 19243, 284773, 155370, 171099, 428257, 335963, 40572, 98364, 2939, 302933, 46318, 351, 119135, 192669, 154567, 169811, 42100, 146938, 286455, 443837, 497671, 491717, 33841, 457233, 321801, 366772, 151636, 21076, 31446, 25846, 35698, 27730, 450673, 37379, 431595, 130275, 10999, 360352, 351653, 464790, 3860, 255441, 95674]"
4110,"[424564, 162316, 14331, 232584, 428022, 25185, 232781, 82974, 27363, 67093, 28263, 184467, 240789, 204470, 306152, 197309, 213137, 232789, 266609, 517, 44494, 64048, 188712, 27864, 211019, 222296, 119211, 43306, 176730, 65531, 23988, 46218, 232453, 168410, 447157, 483782, 217629, 482646, 189134, 96621, 55451, 385630, 22244, 372960, 109, 134985, 249618, 165832, 503356, 168287, 364630, 30943, 425616, 87243, 113575, 173190, 438318, 313230, 196295, 205630, 247284, 282108, 21899, 169644, 263437, 156664, 74686, 158836, 160983, 169393, 239233, 9778, 230168, 498167, 341985, 60572, 372600, 429476, 167746, 274483, 54620, 280212, 295521, 402388, 119367, 425483, 363730, 151817, 103200, 226543, 211955, 423971, 326201, 126503, 47356, 65836, 50800, 18142, 135551, 286020, 432871, 386289, 28726, 157106, 150062, 276737, 381657, 424359, 87981, 21552, 471590, 23726, 97292, 451623, 19984, 423468, 52149, 205517, 375190, 303765, 329387, 160597, 155510, 19681, 59959, 207087, 207048, 170485, 423411, 101789, 269319, 263344, 4021, 251741, 91222, 61056, 160358, 28621, 428560, 89997, 22650, 52706, 193171, 322603, 144753, 253002, 102714, 21137, 108756, 230501, 89686, 103926, 204475]"
2646,"[286658, 432721, 142260, 56922, 114460, 84556, 258785, 226732, 427042, 426076, 466096, 77063, 273619, 122662, 373589, 459460, 410530, 366982, 24126, 82978, 57361, 223287, 390535, 47413, 230052, 504597, 9680, 386285, 428747, 284183, 382940, 163392, 426078, 96968, 228286, 243017, 229618, 90818, 125464, 220321, 143873, 162366, 99506, 162116, 251798, 467909, 256460, 9436, 116506, 129457, 475533, 386617, 54055, 442926, 213429, 266302, 308948, 453172, 31423, 67443, 69213, 21609, 473410, 84710, 15921, 201013, 63223, 393555, 222324, 132214, 505454, 357856, 128020, 338283, 482986, 140192, 442912, 367603, 42383, 476028, 39375, 232524, 2743, 456119, 280448, 317033, 200734, 80179, 68221, 55114, 377989, 446550, 197265, 187273, 478635, 14527, 60388]"
6355,"[449390, 382048, 184640, 231346, 60334, 249494, 504596, 366299, 373844, 397763, 438942, 29204, 438408, 40207, 179375, 190108, 367963, 424001, 307968, 393545, 51114, 240359, 213100, 262306, 382542, 483963, 451151, 370699, 368520, 326422, 484329]"
7201,"[81210, 117109, 15571, 318881, 235345, 116794, 227338, 493282, 324429, 78308, 208669, 29864, 447152, 19945, 293394, 108647, 168232, 235903, 186627, 97089, 23832, 172913, 140966, 367132, 14604, 178472, 93003, 245376, 47548, 173967, 147880, 222096, 315581, 152032, 193644, 24942, 433293, 298154, 250271, 485586, 213766, 76736, 366933, 59283, 198077, 89769, 119828, 44787, 327655, 485290, 450715, 375770, 8962, 290989, 206571, 114603, 161515, 305777, 34641, 373278, 179276, 301839, 302370, 117965, 247152, 42997, 86017, 284618, 260508, 186943, 396334, 185041, 439451, 471156, 450710, 208667, 416013, 415253, 43583, 37636, 293033, 25710, 281682, 451134, 130505, 291604, 132654, 126639, 378935, 417487, 290928, 456667, 7655, 357337, 152144, 106456, 187008, 110531, 246457, 25678, 271344, 88821, 252397, 20383, 47148, 209835, 300266, 371120, 68728, 476309, 470852, 25371, 495501, 32035, 8438, 164488, 92605, 383380, 208668, 317184, 429545, 65072, 106244, 7022, 246623, 452662, 319809, 97687, 323135, 23624, 115509, 221309, 487074, 90111, 105896, 44620, 281931, 184409, 352649, 21678, 107088, 357804, 254346, 71841, 13360, 52566, 365295, 248530, 341627, 168035, 363195, 64386, 109173, 186834, 19680, 54206, 287808, 63036, 93998, 119254, 268274, 443837, 183673, 176423, 42700, 31706, 118148, 147518, 37379, 314723, 14644, 139846, 26902]"
7124,"[213794, 402541, 178109, 388943, 362498, 189903, 427427, 348825, 229957, 215026, 243497, 348857, 13678, 315262, 257317, 94364, 94117, 13578, 418978, 138477, 200900, 405778, 66328, 415310, 191382, 325700, 23082, 169090, 384205, 115557, 86071, 24935, 34568, 112444, 342731, 418860, 54324, 474064, 245592, 199814, 233749, 110787, 82510, 193298, 449653, 115509, 189212, 63968, 372929, 187505, 327233, 422858, 131480, 478855, 287808, 440330, 192303, 87942, 56655, 264480, 24710]"
